a,b,c,density,early_density,max_streak,total_primes,first_primes
1,1927,4373,0.4798,0.7333333333333333,12,2399,"[[1, 6301], [2, 8231], [3, 10163], [4, 12097], [5, 14033], [6, 15971], [7, 17911], [8, 19853], [10, 23743], [14, 31547]]"
2,1986,2063,0.4796,0.7466666666666667,11,2398,"[[1, 4051], [2, 6043], [3, 8039], [4, 10039], [5, 12043], [6, 14051], [7, 16063], [10, 22123], [11, 24151], [12, 26183]]"
2,1990,4051,0.4794,0.7333333333333333,11,2397,"[[1, 6043], [2, 8039], [3, 10039], [4, 12043], [5, 14051], [6, 16063], [9, 22123], [10, 24151], [11, 26183], [12, 28219]]"
2,1312,157,0.479,0.7733333333333333,14,2395,"[[1, 1471], [2, 2789], [3, 4111], [4, 5437], [6, 8101], [7, 9439], [8, 10781], [10, 13477], [11, 14831], [12, 16189]]"
2,1316,1471,0.4788,0.76,14,2394,"[[1, 2789], [2, 4111], [3, 5437], [5, 8101], [6, 9439], [7, 10781], [9, 13477], [10, 14831], [11, 16189], [12, 17551]]"
2,1320,2789,0.4786,0.76,14,2393,"[[1, 4111], [2, 5437], [4, 8101], [5, 9439], [6, 10781], [8, 13477], [9, 14831], [10, 16189], [11, 17551], [12, 18917]]"
1,1793,3083,0.478,0.7466666666666667,14,2390,"[[1, 4877], [2, 6673], [4, 10271], [5, 12073], [6, 13877], [7, 15683], [8, 17491], [9, 19301], [13, 26561], [15, 30203]]"
1,1791,1291,0.478,0.76,14,2390,"[[1, 3083], [2, 4877], [3, 6673], [5, 10271], [6, 12073], [7, 13877], [8, 15683], [9, 17491], [10, 19301], [14, 26561]]"
2,2230,4339,0.4776,0.76,11,2388,"[[1, 6571], [2, 8807], [3, 11047], [4, 13291], [6, 17791], [7, 20047], [8, 22307], [9, 24571], [10, 26839], [12, 31387]]"
2,2226,2111,0.4776,0.76,11,2388,"[[1, 4339], [2, 6571], [3, 8807], [4, 11047], [5, 13291], [7, 17791], [8, 20047], [9, 22307], [10, 24571], [11, 26839]]"
3,1977,1201,0.4774,0.7466666666666667,18,2387,"[[1, 3181], [2, 5167], [3, 7159], [4, 9157], [5, 11161], [6, 13171], [7, 15187], [8, 17209], [9, 19237], [11, 23311]]"
3,1983,3181,0.4774,0.7466666666666667,18,2387,"[[1, 5167], [2, 7159], [3, 9157], [4, 11161], [5, 13171], [6, 15187], [7, 17209], [8, 19237], [10, 23311], [11, 25357]]"
1,1335,997,0.4764,0.7066666666666667,13,2382,"[[1, 2333], [2, 3671], [3, 5011], [4, 6353], [6, 9043], [7, 10391], [9, 13093], [10, 14447], [11, 15803], [13, 18521]]"
1,1337,2333,0.4764,0.7066666666666667,13,2382,"[[1, 3671], [2, 5011], [3, 6353], [5, 9043], [6, 10391], [8, 13093], [9, 14447], [10, 15803], [12, 18521], [14, 21247]]"
4,2370,1543,0.4764,0.76,12,2382,"[[1, 3917], [2, 6299], [3, 8689], [4, 11087], [6, 15907], [7, 18329], [8, 20759], [9, 23197], [10, 25643], [11, 28097]]"
1,887,1193,0.4762,0.72,14,2381,"[[1, 2081], [2, 2971], [3, 3863], [5, 5653], [6, 6551], [7, 7451], [8, 8353], [9, 9257], [10, 10163], [11, 11071]]"
1,1339,3671,0.4762,0.7066666666666667,13,2381,"[[1, 5011], [2, 6353], [4, 9043], [5, 10391], [7, 13093], [8, 14447], [9, 15803], [11, 18521], [13, 21247], [14, 22613]]"
1,885,307,0.4762,0.7333333333333333,14,2381,"[[1, 1193], [2, 2081], [3, 2971], [4, 3863], [6, 5653], [7, 6551], [8, 7451], [9, 8353], [10, 9257], [11, 10163]]"
1,2087,809,0.4762,0.72,10,2381,"[[1, 2897], [2, 4987], [3, 7079], [4, 9173], [6, 13367], [7, 15467], [8, 17569], [11, 23887], [12, 25997], [13, 28109]]"
4,2378,3917,0.4762,0.7466666666666667,12,2381,"[[1, 6299], [2, 8689], [3, 11087], [5, 15907], [6, 18329], [7, 20759], [8, 23197], [9, 25643], [10, 28097], [11, 30559]]"
